 ,movie_id,rank,votes,title,originalTitle,year,rating,titleType,isAdult,runtime,genres
248,tt6742252,253,59515,The Guilty,Den skyldige,2018,7.5,movie,0,85,"Crime, Drama, Thriller            "
264,tt10919380,254,58991,Freaky,Freaky,2020,6.3,movie,0,102,"Comedy, Horror, Thriller            "
250,tt8291806,255,58710,Pain and Glory,Dolor y gloria,2019,7.5,movie,0,113,Drama            
277,tt11032374,256,58117,Demon Slayer the Movie: Mugen Train,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2,movie,0,117,"Animation, Action, Adventure            "
252,tt0385887,257,58003,Motherless Brooklyn,Motherless Brooklyn,2019,6.8,movie,0,144,"Crime, Drama, Mystery            "
251,tt6543652,258,57595,Cold War,Zimna wojna,2018,7.5,movie,0,89,"Drama, Music, Romance            "
249,tt10350922,259,57504,Laxmii,Laxmii,2020,2.6,movie,0,141,"Action, Comedy, Horror            "
254,tt6306064,260,57433,Adrift,Adrift,2018,6.6,movie,0,96,"Action, Adventure, Biography            "
259,tt4687108,261,57254,In the Tall Grass,In the Tall Grass,2019,5.4,movie,0,101,"Horror, Mystery, Sci-Fi            "
258,tt6772950,262,57104,Truth or Dare,Truth or Dare,2018,5.2,movie,0,100,"Horror, Thriller            "
257,tt7374948,263,57068,Always Be My Maybe,Always Be My Maybe,2019,6.8,movie,0,101,"Comedy, Romance            "
272,tt6398184,264,56925,Downton Abbey,Downton Abbey,2019,7.4,movie,0,122,"Drama, Romance            "
263,tt6908274,265,56687,Mirage,Durante la tormenta,2018,7.4,movie,0,128,"Drama, Fantasy, Mystery            "
273,tt4126476,266,56279,After,After,2019,5.3,movie,0,105,"Drama, Romance            "
266,tt8784956,267,56195,Ava,Ava,2020,5.4,movie,0,96,"Action, Drama, Thriller            "
265,tt6452574,268,55330,Sanju,Sanju,2018,7.6,movie,0,155,"Biography, Comedy, Drama            "
253,tt7668842,269,55289,Enes Batur,Enes Batur Hayal mi Gerçek mi?,2018,2,movie,0,110,Comedy            
256,tt7825208,270,55249,Marighella,Marighella,2019,6.6,movie,0,155,"Action, Drama, History            "
288,tt9052870,271,54896,Chhichhore,Chhichhore,2019,8.3,movie,0,143,"Comedy, Drama, Romance            "
281,tt5304992,272,54879,Set It Up,Set It Up,2018,6.5,movie,0,105,"Comedy, Romance            "
